County,State,Population
Harding County,South Dakota,"1,270"
Hughes County,South Dakota,"17,555"
Hutchinson County,South Dakota,"7,267"
Hyde County,South Dakota,"1,386"
Jackson County,South Dakota,"3,278"
Jerauld County,South Dakota,"2,018"
Jones County,South Dakota",917
Kingsbury County,South Dakota,"4,952"
Lake County,South Dakota,"12,334"
Lawrence County,South Dakota,"24,827"
Lincoln County,South Dakota,"52,959"
Lyman County,South Dakota,"3,881"
McCook County,South Dakota,"5,483"
McPherson County,South Dakota,"2,397"
Marshall County,South Dakota,"4,821"
Meade County,South Dakota,"26,770"
Mellette County,South Dakota,"2,025"
Miner County,South Dakota,"2,207"
Minnehaha County,South Dakota,"183,439"
Moody County,South Dakota,"6,453"
Oglala Lakota County,South Dakota,"14,358"
Pennington County,South Dakota,"108,088"
Perkins County,South Dakota,"2,984"
Potter County,South Dakota,"2,295"
Roberts County,South Dakota,"10,209"
Sanborn County,South Dakota,"2,348"
Spink County,South Dakota,"6,554"
Stanley County,South Dakota,"2,974"
Sully County,South Dakota,"1,401"
Todd County,South Dakota,"10,041"
Tripp County,South Dakota,"5,422"
Turner County,South Dakota,"8,131"
Union County,South Dakota,"14,925"
Walworth County,South Dakota,"5,404"
Yankton County,South Dakota,"22,682"
Ziebach County,South Dakota,"2,837"
Anderson County,Tennessee,"75,456"
Bedford County,Tennessee,"46,948"
Benton County,Tennessee,"16,220"
Bledsoe County,Tennessee,"14,601"
Blount County,Tennessee,"126,954"
Bradley County,Tennessee,"103,774"
Campbell County,Tennessee,"39,772"
Cannon County,Tennessee,"13,740"
Carroll County,Tennessee,"27,982"
Carter County,Tennessee,"56,375"
Cheatham County,Tennessee,"39,593"
Chester County,Tennessee,"17,123"
Claiborne County,Tennessee,"31,555"
Clay County,Tennessee,"7,663"
Cocke County,Tennessee,"35,138"
Coffee County,Tennessee,"54,093"
Crockett County,Tennessee,"14,586"
Cumberland County,Tennessee,"58,217"
Davidson County,Tennessee,"679,793"
Decatur County,Tennessee,"11,600"
DeKalb County,Tennessee,"19,292"
Dickson County,Tennessee,"51,334"
Dyer County,Tennessee,"37,753"
Fayette County,Tennessee,"39,280"
Fentress County,Tennessee,"17,965"
Franklin County,Tennessee,"41,343"
Gibson County,Tennessee,"49,329"
Giles County,Tennessee,"28,973"
Grainger County,Tennessee,"22,848"
Greene County,Tennessee,"68,586"
Grundy County,Tennessee,"13,337"
Hamblen County,Tennessee,"63,353"
Hamilton County,Tennessee,"353,690"
Hancock County,Tennessee,"6,577"
Hardeman County,Tennessee,"25,817"
Hardin County,Tennessee,"25,754"
Hawkins County,Tennessee,"56,370"
Haywood County,Tennessee,"18,036"
Henderson County,Tennessee,"28,078"
Henry County,Tennessee,"32,127"
Hickman County,Tennessee,"24,373"
Houston County,Tennessee,"8,124"
Humphreys County,Tennessee,"18,157"
Jackson County,Tennessee,"11,534"
Jefferson County,Tennessee,"53,011"
Johnson County,Tennessee,"17,842"
Knox County,Tennessee,"451,297"
Lake County,Tennessee,"7,602"
Lauderdale County,Tennessee,"26,903"
Lawrence County,Tennessee,"42,592"
Lewis County,Tennessee,"11,875"
Lincoln County,Tennessee,"33,609"
Loudon County,Tennessee,"50,916"
McMinn County,Tennessee,"52,502"
McNairy County,Tennessee,"25,864"
Macon County,Tennessee,"23,076"
Madison County,Tennessee,"97,569"
Marion County,Tennessee,"28,397"
Marshall County,Tennessee,"31,590"
Maury County,Tennessee,"87,425"
Meigs County,Tennessee,"11,804"
Monroe County,Tennessee,"45,625"
Montgomery County,Tennessee,"192,398"
Moore County,Tennessee,"6,261"
Morgan County,Tennessee,"21,494"
Obion County,Tennessee,"30,561"
Overton County,Tennessee,"22,067"
Perry County,Tennessee,"7,852"
Pickett County,Tennessee,"5,139"
Polk County,Tennessee,"16,769"
Putnam County,Tennessee,"75,074"
Rhea County,Tennessee,"32,373"
Roane County,Tennessee,"52,770"
Robertson County,Tennessee,"68,687"
Rutherford County,Tennessee,"298,197"
Scott County,Tennessee,"21,893"
Sequatchie County,Tennessee,"14,641"
Sevier County,Tennessee,"95,417"
Shelby County,Tennessee,"937,067"
Smith County,Tennessee,"19,308"
Stewart County,Tennessee,"13,187"
Sullivan County,Tennessee,"156,199"
Sumner County,Tennessee,"175,326"
Tipton County,Tennessee,"61,533"
Trousdale County,Tennessee,"8,051"
Unicoi County,Tennessee,"17,819"
Union County,Tennessee,"19,159"
Van Buren County,Tennessee,"5,695"
Warren County,Tennessee,"40,262"
Washington County,Tennessee,"126,137"
Wayne County,Tennessee,"16,767"
Weakley County,Tennessee,"33,872"
White County,Tennessee,"26,342"
Williamson County,Tennessee,"211,605"
Wilson County,Tennessee,"128,536"
Anderson County,Texas,"57,639"
Andrews County,Texas,"18,072"
Angelina County,Texas,"87,829"
Aransas County,Texas,"24,800"
Archer County,Texas,"8,763"
Armstrong County,Texas,"1,901"
Atascosa County,Texas,"48,363"
Austin County,Texas,"29,471"
Bailey County,Texas,"7,223"
Bandera County,Texas,"21,144"
Bastrop County,Texas,"80,115"
Baylor County,Texas,"3,609"
Bee County,Texas,"32,617"
Bell County,Texas,"336,076"
Bexar County,Texas,"1,894,834"
Blanco County,Texas,"11,029"
Borden County,Texas",655
Bosque County,Texas,"17,864"
Bowie County,Texas,"93,050"
Brazoria County,Texas,"345,227"
Brazos County,Texas,"216,258"
Brewster County,Texas,"9,143"
Briscoe County,Texas,"1,514"
Brooks County,Texas,"7,190"
Brown County,Texas,"37,736"
Burleson County,Texas,"17,611"
Burnet County,Texas,"44,734"
Caldwell County,Texas,"40,419"
Calhoun County,Texas,"21,887"
Callahan County,Texas,"13,589"
Cameron County,Texas,"419,450"
Camp County,Texas,"12,699"
Carson County,Texas,"6,013"
Cass County,Texas,"30,140"
Castro County,Texas,"7,787"
Chambers County,Texas,"39,028"
Cherokee County,Texas,"51,568"
Childress County,Texas,"7,169"
Clay County,Texas,"10,359"
Cochran County,Texas,"2,977"
Coke County,Texas,"3,227"
Coleman County,Texas,"8,316"
Collin County,Texas,"915,243"
Collingsworth County,Texas,"3,010"
Colorado County,Texas,"20,951"
Comal County,Texas,"128,795"
Comanche County,Texas,"13,395"
Concho County,Texas,"4,072"
Cooke County,Texas,"39,170"
Coryell County,Texas,"76,145"
Cottle County,Texas,"1,439"
Crane County,Texas,"4,995"
Crockett County,Texas,"3,735"
Crosby County,Texas,"5,918"
Culberson County,Texas,"2,254"
Dallam County,Texas,"7,301"
Dallas County,Texas,"2,557,830"
Dawson County,Texas,"12,987"
Deaf Smith County,Texas,"18,825"
Delta County,Texas,"5,159"
Denton County,Texas,"779,584"
DeWitt County,Texas,"20,632"
Dickens County,Texas,"2,204"
Dimmit County,Texas,"10,910"
Donley County,Texas,"3,391"
Duval County,Texas,"11,336"
Eastland County,Texas,"18,152"
Ector County,Texas,"159,903"
Edwards County,Texas,"1,910"
Ellis County,Texas,"163,292"
El Paso County,Texas,"831,898"
Erath County,Texas,"41,191"
Falls County,Texas,"17,216"
Fannin County,Texas,"33,502"
Fayette County,Texas,"24,945"
Fisher County,Texas,"3,877"
Floyd County,Texas,"5,843"
Foard County,Texas,"1,225"
Fort Bend County,Texas,"715,331"
Franklin County,Texas,"10,603"
Freestone County,Texas,"19,746"
Frio County,Texas,"19,361"
Gaines County,Texas,"20,217"
Galveston County,Texas,"320,974"
Garza County,Texas,"6,391"
Gillespie County,Texas,"25,916"
Glasscock County,Texas,"1,380"
Goliad County,Texas,"7,513"
Gonzales County,Texas,"20,510"
Gray County,Texas,"23,265"
Grayson County,Texas,"125,628"
Gregg County,Texas,"123,800"
Grimes County,Texas,"27,299"
Guadalupe County,Texas,"150,578"
Hale County,Texas,"34,034"
Hall County,Texas,"3,094"
Hamilton County,Texas,"8,080"
Hansford County,Texas,"5,654"
Hardeman County,Texas,"3,920"
Hardin County,Texas,"55,758"
Harris County,Texas,"4,557,846"
Harrison County,Texas,"66,685"
Hartley County,Texas,"5,702"
Haskell County,Texas,"5,821"
Hays County,Texas,"194,662"
Hemphill County,Texas,"4,277"
Henderson County,Texas,"79,492"
Hidalgo County,Texas,"839,667"
Hill County,Texas,"34,828"
Hockley County,Texas,"23,310"
Hood County,Texas,"55,227"
Hopkins County,Texas,"35,973"
Houston County,Texas,"22,747"
Howard County,Texas,"37,123"
Hudspeth County,Texas,"3,541"
Hunt County,Texas,"89,670"
Hutchinson County,Texas,"21,793"
Irion County,Texas,"1,543"
Jack County,Texas,"8,883"
Jackson County,Texas,"14,808"
Jasper County,Texas,"35,266"
Jeff Davis County,Texas,"2,199"
Jefferson County,Texas,"255,112"
Jim Hogg County,Texas,"5,296"
Jim Wells County,Texas,"41,523"
Johnson County,Texas,"159,345"
Jones County,Texas,"19,966"
Karnes County,Texas,"15,413"
Kaufman County,Texas,"114,055"
Kendall County,Texas,"39,938"
Kenedy County,Texas",441
Kent County,Texas",747
Kerr County,Texas,"50,880"
Kimble County,Texas,"4,391"
King County,Texas",282
Kinney County,Texas,"3,589"
Kleberg County,Texas,"31,413"
Knox County,Texas,"3,792"
Lamar County,Texas,"49,373"
Lamb County,Texas,"13,259"
Lampasas County,Texas,"20,362"
La Salle County,Texas,"7,637"
Lavaca County,Texas,"19,919"
Lee County,Texas,"16,868"
Leon County,Texas,"17,028"
Liberty County,Texas,"79,537"
Limestone County,Texas,"23,442"
Lipscomb County,Texas,"3,559"
Live Oak County,Texas,"12,173"
Llano County,Texas,"20,081"
Loving County,Texas",119
Lubbock County,Texas,"298,337"
Lynn County,Texas,"5,746"
McCulloch County,Texas,"8,255"
McLennan County,Texas,"245,444"
McMullen County,Texas",828
Madison County,Texas,"13,968"
Marion County,Texas,"10,136"
Martin County,Texas,"5,646"
Mason County,Texas,"4,057"
Matagorda County,Texas,"36,766"
Maverick County,Texas,"57,720"
Medina County,Texas,"48,402"
Menard County,Texas,"2,134"
Midland County,Texas,"162,328"
Milam County,Texas,"24,362"
Mills County,Texas,"4,889"
Mitchell County,Texas,"8,856"
Montague County,Texas,"19,252"
Montgomery County,Texas,"535,753"
Moore County,Texas,"21,725"
Morris County,Texas,"12,370"
Motley County,Texas,"1,146"
Nacogdoches County,Texas,"65,462"
Navarro County,Texas,"48,181"
Newton County,Texas,"14,158"
Nolan County,Texas,"15,111"
Nueces County,Texas,"360,504"
Ochiltree County,Texas,"10,698"
Oldham County,Texas,"2,064"
Orange County,Texas,"83,955"
Palo Pinto County,Texas,"27,966"
Panola County,Texas,"23,667"
Parker County,Texas,"125,640"
Parmer County,Texas,"9,794"
Pecos County,Texas,"16,030"
Polk County,Texas,"46,613"
Potter County,Texas,"121,272"
Presidio County,Texas,"7,057"
Rains County,Texas,"11,136"
Randall County,Texas,"130,368"
Reagan County,Texas,"3,807"
Real County,Texas,"3,297"
Red River County,Texas,"12,345"
Reeves County,Texas,"15,574"
Refugio County,Texas,"7,326"
Roberts County,Texas",910
Robertson County,Texas,"16,698"
Rockwall County,Texas,"90,170"
Runnels County,Texas,"10,387"
Rusk County,Texas,"52,965"
Sabine County,Texas,"10,440"
San Augustine County,Texas,"8,349"
San Jacinto County,Texas,"27,361"
San Patricio County,Texas,"67,117"
San Saba County,Texas,"5,922"
Schleicher County,Texas,"3,195"
Scurry County,Texas,"17,570"
Shackelford County,Texas,"3,333"
Shelby County,Texas,"25,373"
Sherman County,Texas,"3,058"
Smith County,Texas,"222,390"
Somervell County,Texas,"8,618"
Starr County,Texas,"63,484"
Stephens County,Texas,"9,385"
Sterling County,Texas,"1,333"
Stonewall County,Texas,"1,398"
Sutton County,Texas,"3,915"
Swisher County,Texas,"7,477"
Tarrant County,Texas,"1,984,880"
Taylor County,Texas,"136,133"
Terrell County,Texas",867
Terry County,Texas,"12,759"
Throckmorton County,Texas,"1,559"
Titus County,Texas,"32,626"
Tom Green County,Texas,"117,514"
Travis County,Texas,"1,179,805"
Trinity County,Texas,"14,539"
Tyler County,Texas,"21,370"
Upshur County,Texas,"40,317"
Upton County,Texas,"3,652"
Uvalde County,Texas,"26,949"
Val Verde County,Texas,"48,891"
Van Zandt County,Texas,"53,430"
Victoria County,Texas,"92,136"
Walker County,Texas,"70,836"
Waller County,Texas,"48,641"
Ward County,Texas,"11,631"
Washington County,Texas,"34,836"
Webb County,Texas,"269,865"
Wharton County,Texas,"41,383"
Wheeler County,Texas,"5,658"
Wichita County,Texas,"130,961"
Wilbarger County,Texas,"13,055"
Willacy County,Texas,"21,863"
Williamson County,Texas,"507,133"
Wilson County,Texas,"47,178"
Winkler County,Texas,"8,027"
Wise County,Texas,"62,857"
Wood County,Texas,"43,117"
Yoakum County,Texas,"8,644"
Young County,Texas,"18,163"
Zapata County,Texas,"14,493"
Zavala County,Texas,"12,310"
Beaver County,Utah,"6,353"
Box Elder County,Utah,"51,826"
Cache County,Utah,"119,697"
Carbon County,Utah,"20,391"
Daggett County,Utah,"1,107"
Davis County,Utah,"334,597"
Duchesne County,Utah,"20,748"
Emery County,Utah,"10,359"
Garfield County,Utah,"4,962"
Grand County,Utah,"9,551"
Iron County,Utah,"48,113"
Juab County,Utah,"10,551"
Kane County,Utah,"7,039"
Millard County,Utah,"12,620"
Morgan County,Utah,"11,039"
Piute County,Utah,"1,491"
Rich County,Utah,"2,300"
Salt Lake County,Utah,"1,102,273"
San Juan County,Utah,"15,239"
Sanpete County,Utah,"28,654"
Sevier County,Utah,"20,858"
Summit County,Utah,"39,640"
Tooele County,Utah,"62,639"
Uintah County,Utah,"37,791"
Utah County,Utah,"572,667"
Wasatch County,Utah,"29,118"
Washington County,Utah,"154,650"
Wayne County,Utah,"2,690"
Weber County,Utah,"242,872"
Addison County,Vermont,"36,929"
Bennington County,Vermont,"36,153"
Caledonia County,Vermont,"30,645"
Chittenden County,Vermont,"161,293"
Essex County,Vermont,"6,193"
Franklin County,Vermont,"48,988"
Grand Isle County,Vermont,"6,871"
Lamoille County,Vermont,"25,240"
Orange County,Vermont,"28,887"
Orleans County,Vermont,"27,034"
Rutland County,Vermont,"59,544"
Washington County,Vermont,"58,652"
Windham County,Vermont,"43,246"
Windsor County,Vermont,"55,541"
Accomack County,Virginia,"32,914"
Albemarle County,Virginia,"105,117"
Alleghany County,Virginia,"15,425"
Amelia County,Virginia,"12,784"
Amherst County,Virginia,"31,836"
Appomattox County,Virginia,"15,492"
Arlington County,Virginia,"228,548"
Augusta County,Virginia,"74,292"
Bath County,Virginia,"4,460"
Bedford County,Virginia,"77,629"
Bland County,Virginia,"6,532"
Botetourt County,Virginia,"33,380"
Brunswick County,Virginia,"16,845"
Buchanan County,Virginia,"22,752"
Buckingham County,Virginia,"17,017"
Campbell County,Virginia,"55,356"
Caroline County,Virginia,"29,900"
Carroll County,Virginia,"29,870"
Charles City County,Virginia,"7,046"
Charlotte County,Virginia,"12,179"
Chesterfield County,Virginia,"334,915"
Clarke County,Virginia,"14,239"
Craig County,Virginia,"5,136"
Culpeper County,Virginia,"49,551"
Cumberland County,Virginia,"9,756"
Dickenson County,Virginia,"15,201"
Dinwiddie County,Virginia,"28,148"
Essex County,Virginia,"11,096"
Fairfax County,Virginia,"1,140,401"
Fauquier County,Virginia,"68,423"
Floyd County,Virginia,"15,548"
Fluvanna County,Virginia,"26,133"
Franklin County,Virginia,"56,227"
Frederick County,Virginia,"83,493"
Giles County,Virginia,"16,762"
Gloucester County,Virginia,"37,010"
Goochland County,Virginia,"22,165"
Grayson County,Virginia,"15,959"
Greene County,Virginia,"19,183"
Greensville County,Virginia,"11,786"
Halifax County,Virginia,"35,103"
Hanover County,Virginia,"103,071"
Henrico County,Virginia,"324,375"
Henry County,Virginia,"51,940"
Highland County,Virginia,"2,196"
Isle of Wight County,Virginia,"36,159"
James City County,Virginia,"72,819"
King and Queen County,Virginia,"7,085"
King George County,Virginia,"25,414"
King William County,Virginia,"16,282"
Lancaster County,Virginia,"10,825"
Lee County,Virginia,"24,595"
Loudoun County,Virginia,"374,014"
Louisa County,Virginia,"34,611"
Lunenburg County,Virginia,"12,348"
Madison County,Virginia,"13,047"
Mathews County,Virginia,"8,834"
Mecklenburg County,Virginia,"30,922"
Middlesex County,Virginia,"10,686"
Montgomery County,Virginia,"97,317"
Nelson County,Virginia,"14,760"
New Kent County,Virginia,"20,377"
Northampton County,Virginia,"12,080"
Northumberland County,Virginia,"12,241"
Nottoway County,Virginia,"15,606"
Orange County,Virginia,"35,178"
Page County,Virginia,"23,662"
Patrick County,Virginia,"17,960"
Pittsylvania County,Virginia,"62,010"
Powhatan County,Virginia,"28,056"
Prince Edward County,Virginia,"23,120"
Prince George County,Virginia,"38,246"
Prince William County,Virginia,"450,978"
Pulaski County,Virginia,"34,351"
Rappahannock County,Virginia,"7,400"
Richmond County,Virginia,"8,781"
Roanoke County,Virginia,"93,376"
Rockbridge County,Virginia,"22,396"
Rockingham County,Virginia,"78,445"
Russell County,Virginia,"27,854"
Scott County,Virginia,"22,296"
Shenandoah County,Virginia,"42,848"
Smyth County,Virginia,"31,419"
Southampton County,Virginia,"18,136"
Spotsylvania County,Virginia,"129,948"
Stafford County,Virginia,"140,868"
Surry County,Virginia,"6,671"
Sussex County,Virginia,"11,692"
Tazewell County,Virginia,"42,905"
Warren County,Virginia,"38,716"
Washington County,Virginia,"54,268"
Westmoreland County,Virginia,"17,549"
Wise County,Virginia,"39,572"
Wythe County,Virginia,"29,097"
York County,Virginia,"67,802"
Alexandria city,Virginia,"153,654"
Bristol city,Virginia,"17,146"
Buena Vista city,Virginia,"6,529"
Charlottesville city,Virginia,"46,301"
Chesapeake city,Virginia,"235,111"
Colonial Heights city,Virginia,"17,444"
Covington city,Virginia,"5,663"
Danville city,Virginia,"41,947"
Emporia city,Virginia,"5,558"
Fairfax city,Virginia,"23,230"
Falls Church city,Virginia,"13,728"
Franklin city,Virginia,"8,331"
Fredericksburg city,Virginia,"28,043"
Galax city,Virginia,"6,800"
Hampton city,Virginia,"136,264"
Harrisonburg city,Virginia,"52,675"
Hopewell city,Virginia,"22,231"
Lexington city,Virginia,"7,162"
Lynchburg city,Virginia,"79,134"
Manassas city,Virginia,"41,409"
Manassas Park city,Virginia,"16,129"
Martinsville city,Virginia,"13,259"
Newport News city,Virginia,"180,958"
Norfolk city,Virginia,"246,457"
Norton city,Virginia,"4,009"
Petersburg city,Virginia,"31,892"
Poquoson city,Virginia,"12,021"
Portsmouth city,Virginia,"96,336"
Radford city,Virginia,"17,295"
Richmond city,Virginia,"220,856"
Roanoke city,Virginia,"99,669"
Salem city,Virginia,"25,364"
Staunton city,Virginia,"24,185"
Suffolk city,Virginia,"88,079"
Virginia Beach city,Virginia,"450,304"
Waynesboro city,Virginia,"21,542"
Williamsburg city,Virginia,"14,800"
Winchester city,Virginia,"27,480"
Adams County,Washington,"19,233"
Asotin County,Washington,"22,113"
Benton County,Washington,"190,218"
Chelan County,Washington,"75,041"
Clallam County,Washington,"73,202"
Clark County,Washington,"456,939"
Columbia County,Washington,"3,960"
Cowlitz County,Washington,"102,999"
Douglas County,Washington,"40,545"
Ferry County,Washington,"7,520"
Franklin County,Washington,"88,727"
Garfield County,Washington,"2,222"
Grant County,Washington,"93,527"
Grays Harbor County,Washington,"71,011"
Island County,Washington,"80,022"
Jefferson County,Washington,"30,339"
King County,Washington,"2,126,178"
Kitsap County,Washington,"259,232"
Kittitas County,Washington,"43,095"
Klickitat County,Washington,"21,005"
Lewis County,Washington,"75,437"
Lincoln County,Washington,"10,285"
Mason County,Washington,"60,991"
Okanogan County,Washington,"41,356"
Pacific County,Washington,"20,869"
Pend Oreille County,Washington,"13,087"
Pierce County,Washington,"843,778"
San Juan County,Washington,"16,198"
Skagit County,Washington,"121,559"
Skamania County,Washington,"11,375"
Snohomish County,Washington,"769,698"
Spokane County,Washington,"488,610"
Stevens County,Washington,"43,553"
Thurston County,Washington,"267,978"
Wahkiakum County,Washington,"4,023"
Walla Walla County,Washington,"59,932"
Whatcom County,Washington,"211,836"
Whitman County,Washington,"48,164"
Yakima County,Washington,"247,800"
Barbour County,West Virginia,"16,973"
Berkeley County,West Virginia,"111,678"
Boone County,West Virginia,"23,252"
Braxton County,West Virginia,"14,375"
Brooke County,West Virginia,"23,190"
Cabell County,West Virginia,"96,582"
Calhoun County,West Virginia,"7,463"
Clay County,West Virginia,"8,875"
Doddridge County,West Virginia,"8,703"
Fayette County,West Virginia,"44,707"
Gilmer County,West Virginia,"8,306"
Grant County,West Virginia,"11,651"
Greenbrier County,West Virginia,"35,580"
Hampshire County,West Virginia,"23,311"
Hancock County,West Virginia,"29,980"
Hardy County,West Virginia,"13,826"
Harrison County,West Virginia,"68,535"
Jackson County,West Virginia,"29,170"
Jefferson County,West Virginia,"56,070"
Kanawha County,West Virginia,"188,282"
Lewis County,West Virginia,"16,440"
Lincoln County,West Virginia,"21,279"
Logan County,West Virginia,"34,441"
McDowell County,West Virginia,"19,762"
Marion County,West Virginia,"56,761"
Marshall County,West Virginia,"32,215"
Mason County,West Virginia,"27,089"
Mercer County,West Virginia,"61,133"
Mineral County,West Virginia,"27,417"
Mingo County,West Virginia,"25,317"
Monongalia County,West Virginia,"104,681"
Monroe County,West Virginia,"13,573"
Morgan County,West Virginia,"17,490"
Nicholas County,West Virginia,"25,551"
Ohio County,West Virginia,"42,969"
Pendleton County,West Virginia,"7,103"
Pleasants County,West Virginia,"7,499"
Pocahontas County,West Virginia,"8,573"
Preston County,West Virginia,"33,842"
Putnam County,West Virginia,"56,592"
Raleigh County,West Virginia,"77,363"
Randolph County,West Virginia,"29,212"
Ritchie County,West Virginia,"10,084"
Roane County,West Virginia,"14,375"
Summers County,West Virginia,"13,137"
Taylor County,West Virginia,"16,930"
Tucker County,West Virginia,"7,089"
Tyler County,West Virginia,"8,958"
Upshur County,West Virginia,"24,727"
Wayne County,West Virginia,"41,211"
Webster County,West Virginia,"8,635"
Wetzel County,West Virginia,"15,777"
Wirt County,West Virginia,"5,804"
Wood County,West Virginia,"86,335"
Wyoming County,West Virginia,"22,177"
Adams County,Wisconsin,"20,028"
Ashland County,Wisconsin,"15,804"
Barron County,Wisconsin,"45,367"
Bayfield County,Wisconsin,"14,976"
Brown County,Wisconsin,"257,856"
Buffalo County,Wisconsin,"13,245"
Burnett County,Wisconsin,"15,142"
Calumet County,Wisconsin,"49,818"
Chippewa County,Wisconsin,"63,421"
Clark County,Wisconsin,"34,358"
Columbia County,Wisconsin,"56,682"
Crawford County,Wisconsin,"16,328"
Dane County,Wisconsin,"523,000"
Dodge County,Wisconsin,"87,816"
Door County,Wisconsin,"27,311"
Douglas County,Wisconsin,"43,495"
Dunn County,Wisconsin,"44,267"
Eau Claire County,Wisconsin,"102,080"
Florence County,Wisconsin,"4,338"
Fond du Lac County,Wisconsin,"101,955"
Forest County,Wisconsin,"9,004"
Grant County,Wisconsin,"52,071"
Green County,Wisconsin,"36,931"
Green Lake County,Wisconsin,"18,698"
Iowa County,Wisconsin,"23,585"
Iron County,Wisconsin,"5,727"
Jackson County,Wisconsin,"20,524"
Jefferson County,Wisconsin,"84,488"
Juneau County,Wisconsin,"26,307"
Kenosha County,Wisconsin,"167,910"
Kewaunee County,Wisconsin,"20,324"
La Crosse County,Wisconsin,"117,699"
Lafayette County,Wisconsin,"16,791"
Langlade County,Wisconsin,"19,048"
Lincoln County,Wisconsin,"27,867"
Manitowoc County,Wisconsin,"79,483"
Marathon County,Wisconsin,"135,314"
Marinette County,Wisconsin,"40,649"
Marquette County,Wisconsin,"15,119"
Menominee County,Wisconsin,"4,509"
Milwaukee County,Wisconsin,"958,421"
Monroe County,Wisconsin,"45,322"
Oconto County,Wisconsin,"37,472"
Oneida County,Wisconsin,"35,303"
Outagamie County,Wisconsin,"183,328"
Ozaukee County,Wisconsin,"87,932"
Pepin County,Wisconsin,"7,237"
Pierce County,Wisconsin,"41,069"
Polk County,Wisconsin,"43,218"
Portage County,Wisconsin,"70,520"
Price County,Wisconsin,"13,578"
Racine County,Wisconsin,"194,672"
Richland County,Wisconsin,"17,574"
Rock County,Wisconsin,"161,006"
Rusk County,Wisconsin,"14,124"
St. Croix County,Wisconsin,"87,129"
Sauk County,Wisconsin,"63,271"
Sawyer County,Wisconsin,"16,288"
Shawano County,Wisconsin,"41,051"
Sheboygan County,Wisconsin,"115,196"
Taylor County,Wisconsin,"20,314"
Trempealeau County,Wisconsin,"29,441"
Vernon County,Wisconsin,"30,317"
Vilas County,Wisconsin,"21,447"
Walworth County,Wisconsin,"102,475"
Washburn County,Wisconsin,"15,522"
Washington County,Wisconsin,"133,906"
Waukesha County,Wisconsin,"396,237"
Waupaca County,Wisconsin,"51,680"
Waushara County,Wisconsin,"23,959"
Winnebago County,Wisconsin,"169,246"
Wood County,Wisconsin,"73,350"
Albany County,Wyoming,"37,960"
Big Horn County,Wyoming,"11,945"
Campbell County,Wyoming,"49,258"
Carbon County,Wyoming,"15,613"
Converse County,Wyoming,"14,297"
Crook County,Wyoming,"7,435"
Fremont County,Wyoming,"40,219"
Goshen County,Wyoming,"13,542"
Hot Springs County,Wyoming,"4,716"
Johnson County,Wyoming,"8,611"
Laramie County,Wyoming,"96,969"
Lincoln County,Wyoming,"18,747"
Natrona County,Wyoming,"82,137"
Niobrara County,Wyoming,"2,496"
Park County,Wyoming,"28,928"
Platte County,Wyoming,"8,798"
Sheridan County,Wyoming,"29,883"
Sublette County,Wyoming,"10,044"
Sweetwater County,Wyoming,"44,719"
Teton County,Wyoming,"23,047"
Uinta County,Wyoming,"20,763"
Washakie County,Wyoming,"8,278"
Weston County,Wyoming,"7,208"
